iter	Passed	Remaining
398	208966	314758
399	209454	314182
400	209999	313689
401	210535	313184
402	211058	312660
403	211582	312136
404	212112	311621
405	212636	311098
406	213179	310602
407	213637	309983
408	214137	309426
409	214698	308956
410	215248	308470
411	215814	308007
412	216368	307525
413	216938	307066
414	217484	306574
415	217950	305968
416	218434	305389
417	218954	304860
418	219422	304259
419	219928	303710
420	220469	303210
421	221034	302744
422	221599	302276
423	222136	301770
424	222710	301314
425	223299	300877
426	223825	300356
427	224400	299899
428	224919	299368
429	225470	298879
430	226007	298372
431	226554	297876
432	227085	297361
433	227542	296749
434	228107	296277
435	228689	295827
436	229156	295229
437	229640	294653
438	230212	294188
439	230742	293672
440	231287	293173
441	231831	292674
442	232398	292203
443	232956	291719
444	233507	291228
445	234035	290708
446	234619	290255
447	235105	289683
448	235640	289171
449	236153	288632
450	236697	288130
451	237105	287463
452	237680	286999
453	238239	286517
454	238798	286033
455	239331	285517
456	239849	284985
457	240366	284450
458	240880	283913
459	241418	283404
460	241934	282869
461	242427	282307
462	242934	281761
463	243474	281254
464	244009	280741
465	244543	280228
466	245061	279694
467	245605	279192
468	246072	278601
469	246606	278087
470	247105	277534
471	247613	276991
472	247980	276290
473	248460	275717
474	248935	275139
475	249443	274597
476	249915	274016
477	250409	273459
478	250982	272989
479	251496	272454
480	251976	271883
481	252476	271333
482	253005	270815
483	253576	270341
484	254094	269811
485	254591	269259
486	255132	268753
487	255662	268235
488	256254	267783
489	256774	267254
490	257325	266758
491	257822	266207
492	258409	265747
493	258914	265204
494	259325	264564
495	259897	264089
496	260406	263550
497	260921	263017
498	261493	262541
499	261967	261967
500	262523	261475
501	263067	260971
502	263626	260481
503	264188	259995
504	264657	259417
505	265183	258894
506	265715	258378
507	266211	257827
508	266729	257297
509	267291	256809
510	267779	256250
511	268340	255762
512	268833	255208
513	269404	254728
514	269897	254175
515	270378	253611
516	270920	253103
517	271477	252610
518	272038	252120
519	272536	251572
520	273065	251052
521	273644	250578
522	274119	250009
523	274655	249496
524	275154	248949
525	275657	248405
526	276166	247868
527	276669	247325
528	277189	246797
529	277720	246280
530	278239	245752
531	278750	245217
532	279306	244720
533	279798	244168
534	280350	243669
535	280849	243123
536	281382	242607
537	281908	242085
538	282489	241609
539	283017	241088
540	283565	240584
541	284109	240077
542	284594	239520
543	285123	239000
544	285632	238464
545	286127	237915
546	286634	237377
547	287193	236882
548	287666	236316
549	288200	235800
550	288717	235270
551	289352	234836
552	290323	234673
553	290836	234139
554	291441	233678
555	291992	233173
556	292528	232656
557	293036	232118
558	293558	231590
559	294071	231056
560	294609	230541
561	295167	230041
562	295681	229508
563	296201	228978
564	296736	228460
565	297278	227948
566	297824	227439
567	298389	226944
568	298905	226411
569	299495	225935
570	300004	225397
571	300601	224925
572	301149	224416
573	301678	223893
574	302182	223352
575	302674	222801
576	303283	222337
577	303746	221766
578	304245	221222
579	304712	220654
580	305262	220145
581	305837	219656
582	306375	219139
583	306933	218637
584	307404	218073
585	307916	217538
586	308461	217026
