iter	Logloss
0	0.6732961932
1	0.6586588871
2	0.64452976
3	0.6279625134
4	0.6137782499
5	0.6024680449
6	0.5928400869
7	0.5845189105
8	0.5773989035
9	0.5691476622
10	0.5627396444
11	0.5567284794
12	0.5493292071
13	0.5428236574
14	0.5384313815
15	0.5339709344
16	0.5283765795
17	0.5247988219
18	0.5208879579
19	0.5181839002
20	0.5157753734
21	0.5125334705
22	0.5106235046
23	0.5080644165
24	0.5056040857
25	0.5031506485
26	0.5016996468
27	0.5002470932
28	0.4989313988
29	0.4972348324
30	0.4949397143
31	0.4934380891
32	0.4921763646
33	0.4910136671
34	0.4895832332
35	0.4885666303
36	0.4877080465
37	0.4867018719
38	0.4854077742
39	0.4844246976
40	0.4832917462
41	0.4821173937
42	0.4812756543
43	0.4805899658
44	0.4799414347
45	0.4792904501
46	0.4781953921
47	0.4776512438
48	0.4767751892
49	0.4761300571
50	0.4749458518
51	0.4744204397
52	0.4737990995
53	0.472859844
54	0.4724703621
55	0.4718502153
56	0.4714595195
57	0.4710758637
58	0.4704589183
59	0.470024861
60	0.469678223
61	0.4690630072
62	0.468653328
63	0.4683141453
64	0.4680317568
65	0.4675479472
66	0.466801401
67	0.4662346369
68	0.465961575
69	0.465325962
70	0.4647241564
71	0.4643691383
72	0.4639450543
73	0.4636345884
74	0.4632605963
75	0.4627704136
76	0.4625602653
77	0.4621129216
78	0.4618264948
79	0.4615614444
80	0.4612023951
81	0.4609718977
82	0.4606357652
83	0.460416272
84	0.4601538057
85	0.4598021252
86	0.4595156638
87	0.4591601288
88	0.4589819245
89	0.4587617632
90	0.4585685656
91	0.458154781
92	0.4580129695
93	0.4577147373
94	0.457511653
95	0.4573441753
96	0.4570709875
97	0.4566714628
98	0.4565484277
99	0.4561790105
100	0.4559381712
101	0.4557777578
102	0.4554773665
103	0.455288342
104	0.4551108263
105	0.4549600713
106	0.45478692
107	0.4546347094
108	0.4544872236
109	0.4542981053
110	0.4541761438
111	0.454054279
112	0.4538208477
113	0.4536270345
114	0.4534793252
115	0.4532930107
116	0.4528382325
117	0.4526823629
118	0.4524770001
119	0.4522556132
120	0.4520993912
121	0.4519622044
122	0.4518282586
123	0.4515292944
124	0.4513014266
125	0.4511211613
126	0.4509865242
127	0.4509419806
128	0.4504170636
129	0.4501854252
130	0.4500446828
131	0.4499241545
132	0.4498200054
133	0.4494667541
134	0.4493718476
135	0.4492588025
136	0.4491734252
137	0.4489281716
138	0.4486218159
139	0.4483975719
140	0.4483253646
141	0.4482032271
142	0.4478079967
143	0.44761233
144	0.4473469757
145	0.4471761403
146	0.4471198309
147	0.4469198891
148	0.4467898082
149	0.4466604835
150	0.4464240151
151	0.4463157875
152	0.4461935633
153	0.4461247697
154	0.4457771898
155	0.4455311852
156	0.4455012902
157	0.4454058189
158	0.4453043798
159	0.4451691504
160	0.4450661843
161	0.4450012659
162	0.4448398445
163	0.4447534932
164	0.4446122778
165	0.4445319444
166	0.4444443542
167	0.4443056118
168	0.4440127679
169	0.443924719
170	0.4437481459
171	0.4435875761
172	0.4433713741
173	0.44325098
174	0.4431450984
175	0.4430671152
176	0.4429811977
177	0.4428007818
178	0.4427514136
179	0.4426947404
180	0.4426133073
181	0.4424174735
182	0.4422274391
183	0.4421261947
184	0.4420418595
185	0.4419237632
186	0.4418591114
187	0.441815518
188	0.4417737048
189	0.4415663223
190	0.4414315466
191	0.4413351519
192	0.4412382063
193	0.4411780714
194	0.4410664087
195	0.4409965243
196	0.4408954681
